Domain,Question,Option_A,Option_B,Option_C,Option_D,Correct,Explanation
Software Engineer,What is the time complexity of binary search?,O(n),O(log n),O(n²),O(1),B,Binary search halves the search space each step → O(log n).
Software Engineer,Which data structure uses LIFO (Last In First Out)?,Queue,Heap,Stack,Linked List,C,A Stack follows Last In First Out — like a pile of plates.
Software Engineer,What does 'git commit -m' do?,Pushes code to remote,Creates a commit with a message,Merges branches,Deletes a branch,B,git commit -m saves staged changes to local history with a message.
Software Engineer,What is the purpose of REST APIs?,To design databases,To enable communication between services over HTTP,To write frontend code,To run machine learning models,B,"REST APIs let services communicate using HTTP methods (GET, POST, etc.)."
Software Engineer,Which sorting algorithm has worst-case O(n log n)?,Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,C,"Merge Sort always divides and merges in O(n log n), even in worst case."
Software Engineer,What does OOP stand for?,Object-Oriented Programming,Open Ordered Protocol,Optimized Output Processing,Object Output Pipeline,A,"OOP = Object-Oriented Programming, built on classes and objects."
Software Engineer,What HTTP status code means 'Not Found'?,200,401,500,404,D,404 is the standard HTTP status for a resource not found on the server.
Software Engineer,Which of these is NOT a Python data type?,list,tuple,vector,dict,C,"Python has list, tuple, dict, set — but no built-in 'vector' type."
Software Engineer,What is a primary key in a database?,A key that encrypts data,The first column in any table,A unique identifier for each record,A foreign reference column,C,A primary key uniquely identifies each row in a database table.
Software Engineer,What does 'npm install' do?,Installs Node.js,Runs the server,Installs project dependencies from package.json,Initializes a new project,C,npm install reads package.json and downloads all listed dependencies.
Data Scientist,Which Python library is used for data manipulation?,NumPy,Pandas,Matplotlib,TensorFlow,B,Pandas is the go-to library for tabular data manipulation in Python.
Data Scientist,What does EDA stand for?,Error Detection Algorithm,Exploratory Data Analysis,Enhanced Data Architecture,External Data Aggregation,B,EDA = Exploratory Data Analysis — understanding data before modeling.
Data Scientist,Which algorithm is used for classification tasks?,Linear Regression,K-Means Clustering,Logistic Regression,PCA,C,Logistic Regression predicts class probabilities — ideal for classification.
Data Scientist,What is overfitting?,Model performs well on training but poor on new data,Model has too few parameters,Model is trained on too little data,Model performs equally on train and test,A,Overfitting means the model memorized training data but can't generalize.
Data Scientist,Which metric is used for regression problems?,Accuracy,F1 Score,RMSE,ROC-AUC,C,RMSE (Root Mean Square Error) measures regression prediction error.
Data Scientist,What does SQL stand for?,Structured Query Language,System Query Logic,Standard Query Listing,Sequential Queue Language,A,"SQL = Structured Query Language, used to interact with relational databases."
Data Scientist,What is a confusion matrix used for?,Visualizing neural network layers,Evaluating classification model performance,Detecting outliers in data,Normalizing data,B,"A confusion matrix shows TP, TN, FP, FN to evaluate classifiers."
Data Scientist,What does the 'describe()' function do in pandas?,Describes columns with names,Shows statistical summary of numeric columns,Removes null values,Sorts the dataframe,B,"df.describe() shows count, mean, std, min, quartiles, max for each column."
Cybersecurity Analyst,What does SQL Injection attack exploit?,Weak passwords,Unvalidated user input in SQL queries,Network packets,File system permissions,B,SQL Injection inserts malicious SQL via input fields to manipulate databases.
Cybersecurity Analyst,What is a firewall?,Hardware that cools servers,Software to manage passwords,A system that monitors and controls network traffic,A VPN protocol,C,A firewall filters network traffic based on defined security rules.
Cybersecurity Analyst,What does HTTPS stand for?,HyperText Transfer Protocol System,HyperText Transfer Protocol Secure,High Transfer Text Protocol Service,Hyper Transfer Terminal Protocol Safe,B,HTTPS uses TLS/SSL encryption over HTTP for secure data transmission.
Cybersecurity Analyst,What is Phishing?,A way to encode data,Technique to extract bytes from packets,Tricking users into revealing sensitive info via fake communications,A type of firewall bypass,C,Phishing uses fake emails/sites to steal credentials or install malware.
Cybersecurity Analyst,What port does HTTPS use by default?,80,22,8080,443,D,HTTPS runs on port 443. HTTP uses port 80.
Cybersecurity Analyst,What is the purpose of Kali Linux?,Web development,Penetration testing and ethical hacking,Gaming and multimedia,Office productivity,B,Kali Linux is a Debian-based OS pre-loaded with security testing tools.
Cloud Architect,What does S3 stand for in AWS?,Simple Storage Solution,Simple Storage Service,Scalable Server Solution,Secure Storage System,B,Amazon S3 = Simple Storage Service — object storage for files/backups.
Cloud Architect,What is IaaS?,Internet as a Service,Infrastructure as a Service,Integration as a Service,Input as a Service,B,"IaaS provides virtualized compute, storage, and networking over the cloud."
Cloud Architect,What is the purpose of IAM in AWS?,Manage infrastructure billing,Control access to AWS resources with roles/policies,Host web applications,Monitor network traffic,B,IAM (Identity and Access Management) controls who can access what in AWS.
Cloud Architect,What is Kubernetes used for?,Writing Python code,Container orchestration and management,Data analysis,Network encryption,B,"Kubernetes automates deployment, scaling, and management of containerized apps."
Cloud Architect,Which of these is a serverless AWS service?,EC2,RDS,Lambda,EBS,C,AWS Lambda runs code without provisioning servers — true serverless compute.
AI Engineer,What is gradient descent?,A method to initialize neural networks,An optimization algorithm to minimize loss by updating weights,A type of activation function,A data preprocessing technique,B,Gradient descent iteratively adjusts model weights to reduce the loss function.
AI Engineer,What does RAG stand for in AI?,Random Aggregation Generation,Retrieval-Augmented Generation,Recursive Auto Generation,Real-time AI Gateway,B,"RAG combines document retrieval with LLM generation for factual, grounded answers."
AI Engineer,What is a Large Language Model (LLM)?,A model that only processes images,A deep learning model trained on massive text data to understand/generate language,A small model fine-tuned for one task,A model for tabular data only,B,LLMs like GPT-4 and Gemini are trained on billions of tokens to handle language tasks.
AI Engineer,What is prompt engineering?,Writing code for APIs,Designing effective inputs to guide LLM outputs,Training a neural network from scratch,Setting hyperparameters for ML models,B,Prompt engineering crafts inputs to get optimal responses from LLMs.
AI Engineer,What library does PyTorch belong to?,TensorFlow ecosystem,Scikit-learn ecosystem,Meta's open-source deep learning library,NumPy extensions,C,PyTorch is Meta's open-source framework for deep learning and research.
Psychometric,"When you have free time, what do you prefer doing?",Building or fixing things,Helping and talking to people,Solving puzzles or math problems,"Drawing, writing or creating art",,"Maps_To: A=DevOps/Cloud, B=Product Manager, C=Software/Data Engineer, D=UI/UX"
Psychometric,Which school subject did you enjoy the most?,Mathematics,Computer Science / Coding,Physics / Electronics,English / Social Science,,"Maps_To: A=Data Scientist, B=Software Engineer, C=Cybersecurity/Cloud, D=Product Manager"
Psychometric,How do you prefer to solve a problem?,Analyze data and find patterns,Write code and automate it,Think about security and risks,Plan a strategy and coordinate a team,,"Maps_To: A=Data Scientist, B=Software Engineer, C=Cybersecurity, D=Product Manager"
Psychometric,Which project would you find most exciting?,Build a website or mobile app,Create a data dashboard with insights,Set up cloud servers and automate deployments,Find vulnerabilities in a system,,"Maps_To: A=Software/Mobile, B=Data Scientist, C=Cloud/DevOps, D=Cybersecurity"
Psychometric,What describes your work style best?,I love experimenting and researching new things,I like building products people use daily,I want to protect systems and people from threats,I want to manage infra and keep systems running,,"Maps_To: A=AI Engineer, B=Software/Mobile, C=Cybersecurity, D=DevOps/Cloud"
